word,phonetic,translation,bookId
import,/ɪmˈpɔːt/,v./n. 进口; 输入,CET4,0
temperature,/ˈtemprətʃə/,n. 温度; 体温,CET4,1
awful,/ˈɔːfl/,adj. 可怕的; 极坏的,CET4,0
politician,/ˌpɒlɪˈtɪʃn/,n. 政治家,CET4,1
protest,/prəˈtest/,v./n. 抗议; 反对,CET4,0
population,/ˌpɒpjuˈleɪʃn/,n. 人口; 种群,CET4,1
fountain,/ˈfaʊntən/,n. 喷泉; 源泉,CET4,0
significant,/sɪɡˈnɪfɪkənt/,adj. 重要的; 有意义的,CET4,1
harmony,/ˈhɑːməni/,n. 和谐; 协调,CET4,0
sufficient,/səˈfɪʃnt/,adj. 足够的; 充分的,CET4,1
chase,/tʃeɪs/,v. 追逐; 追捕,CET4,0
information,/ˌɪnfəˈmeɪʃn/,n. 信息; 情报,CET4,1
inspect,/ɪnˈspekt/,v. 检查; 视察,CET4,0
investigation,/ɪnˌvestɪˈɡeɪʃn/,n. 调查; 研究,CET4,1
boast,/bəʊst/,v. 夸耀; 自夸,CET4,0
exhibition,/ˌeksɪˈbɪʃn/,n. 展览; 展示,CET4,1
breeze,/briːz/,n. 微风,CET4,0
revolutionary,/ˌrevəˈluːʃənəri/,adj. 革命的; 革命性的,CET4,1
kingdom,/ˈkɪŋdəm/,n. 王国; 领域,CET4,0
substitute,/ˈsʌbstɪtjuːt/,n./v. 替代; 替补,CET4,1
scatter,/ˈskætə/,v. 分散; 散开,CET4,0
traditional,/trəˈdɪʃənl/,adj. 传统的,CET4,1
ambition,/æmˈbɪʃn/,n. 雄心; 野心,CET4,0
association,/əˌsəʊʃiˈeɪʃn/,n. 协会; 联想,CET4,1
cabin,/ˈkæbɪn/,n. 小屋; 船舱,CET4,0
foundation,/faʊnˈdeɪʃn/,n. 基础; 基金会,CET4,1
patient,/ˈpeɪʃnt/,n. 病人; adj. 耐心的,CET4,0
university,/ˌjuːnɪˈvɜːsəti/,n. 大学,CET4,1
abroad,/əˈbrɔːd/,adv. 到国外; 在国外,CET4,0
atmosphere,/ˈætməsfɪə/,n. 大气; 气氛,CET4,1
drown,/draʊn/,v. 淹死; 淹没,CET4,0
appointment,/əˈpɔɪntmənt/,n. 约会; 任命,CET4,1
rapid,/ˈræpɪd/,adj. 迅速的; 快的,CET4,0
personality,/ˌpɜːsəˈnæləti/,n. 个性; 人格,CET4,1
origin,/ˈɒrɪdʒɪn/,n. 起源; 出身,CET4,0
agriculture,/ˈæɡrɪkʌltʃə/,n. 农业; 农学,CET4,1
moral,/ˈmɒrəl/,adj. 道德的; n. 寓意,CET4,0
